"","MElightgreen","Mean"
"Larva1_Atenuis",-0.0738022004272643,-0.0738022004272643
"Larva2_Atenuis",-0.0740651373422372,-0.0740651373422372
"Larva3_Atenuis",-0.113828650576509,-0.113828650576509
"Meta1_Atenuis",-0.213813565509913,-0.213813565509913
"Meta2_Atenuis",-0.20192064271518,-0.20192064271518
"Meta3_Atenuis",-0.179470564550799,-0.179470564550799
"Spat1_Atenuis",0.289451473063301,0.289451473063301
"Spat2_Atenuis",0.270010367516667,0.270010367516667
"Spat3_Atenuis",0.281451219232218,0.281451219232218
"Larva1_Mcap",0.0800575847720164,0.0800575847720164
"Larva2_Mcap",0.0593987779977994,0.0593987779977994
"Larva3_Mcap",0.0373581285879867,0.0373581285879867
"Meta1_Mcap",0.0443483477969448,0.0443483477969448
"Meta2_Mcap",0.0545775687300181,0.0545775687300181
"Meta3_Mcap",0.0553857882622135,0.0553857882622135
"Spat1_Mcap",-0.244257922023021,-0.244257922023021
"Spat2_Mcap",-0.0835003160530777,-0.0835003160530777
"Spat3_Mcap",-0.0703491420734103,-0.0703491420734103
"Larva1_Pacu",0.234911196935545,0.234911196935545
"Larva2_Pacu",0.245844876625174,0.245844876625174
"Larva3_Pacu",0.332991500312702,0.332991500312702
"Meta1_Pacu",-0.304732288989328,-0.304732288989328
"Meta2_Pacu",-0.250663039265364,-0.250663039265364
"Meta3_Pacu",-0.107042713077601,-0.107042713077601
"Spat1_Pacu",-0.0496082157495224,-0.0496082157495224
"Spat2_Pacu",-0.0163283603994437,-0.0163283603994437
"Spat3_Pacu",-0.032737579155388,-0.032737579155388
"Larva1_Spis",0.124501783866537,0.124501783866537
"Larva2_Spis",-0.00589955684229891,-0.00589955684229891
"Larva3_Spis",0.0860261157051156,0.0860261157051156
"Meta1_Spis",-0.101145789809377,-0.101145789809377
"Meta2_Spis",-0.252655941258832,-0.252655941258832
"Meta3_Spis",-0.0990402956105243,-0.0990402956105243
"Spat1_Spis",0.0876310431409384,0.0876310431409384
"Spat2_Spis",0.109761359986547,0.109761359986547
"Spat3_Spis",0.0811547888973672,0.0811547888973672
